disease,symptoms,medicines,precautions,image_paths
Acne,"Red pimples;Oily skin;Blackheads or whiteheads","Benzoyl Peroxide;Salicylic Acid;Clindamycin;Tretinoin","Wash face regularly;Avoid oily products;Don’t pop pimples","images/acne/acne_1.jpeg;images/acne/acne_2.jpeg;images/acne/acne_3.jpeg"
Eczema,"Itchy skin;Dry patches;Redness","Hydrocortisone;Tacrolimus;Antihistamines;Moisturizers","Moisturize frequently;Avoid triggers;Use gentle soaps","images/eczema/eczema_1.jpeg;images/eczema/eczema_2.jpeg;images/eczema/eczema_3.jpeg"
Cold Sores,"Fluid-filled blisters;Burning sensation;Crusting","Acyclovir;Valacyclovir;Pain relievers;Cold compresses","Avoid kissing;Don’t share personal items;Use sunscreen","images/cold_sores/cold_sores_1.jpeg;images/cold_sores/cold_sores_2.jpeg;images/cold_sores/cold_sores_3.jpeg"
Hives,"Itchy welts;Red bumps;Swelling","Antihistamines;Epinephrine;Steroid creams;Cool compress","Avoid allergens;Wear loose clothing;Keep cool","images/hives/hives_1.jpeg;images/hives/hives_2.jpeg;images/hives/hives_3.jpeg"
Psoriasis,"Red patches;Silvery scales;Itching","Corticosteroids;Vitamin D analogs;Salicylic acid;Coal tar","Keep skin moist;Avoid triggers;Use prescribed creams","images/psoriasis/psoriasis_1.jpeg;images/psoriasis/psoriasis_2.jpeg;images/psoriasis/psoriasis_3.jpeg"
Celleulitis,"Swollen red area;Tenderness;Fever","Antibiotics;Pain relievers;Rest;Hydration","Clean wounds;Keep skin dry;Seek medical help early","images/celleulitis/celleulitis_1.jpeg;images/celleulitis/celleulitis_2.jpeg;images/celleulitis/celleulitis_3.jpeg"
Contact dermatitis,"Rash;Blisters;Burning","Antihistamines;Topical steroids;Moisturizers;Barrier creams","Avoid irritants;Wear gloves;Moisturize regularly","images/contact_dermatitis/contact_dermatitis_1.jpeg;images/contact_dermatitis/contact_dermatitis_2.jpeg;images/contact_dermatitis/contact_dermatitis_3.jpeg"
Dry Skin,"Flaky skin;Itching;Cracks","Moisturizers;Ointments;Humidifiers;Coconut oil","Drink water;Avoid hot showers;Use mild soaps","images/dry_skin/dry_skin_1.jpeg;images/dry_skin/dry_skin_2.jpeg;images/dry_skin/dry_skin_3.jpeg"
Lupus,"Facial rash;Sun sensitivity;Skin sores","Corticosteroids;Immunosuppressants;NSAIDs;Hydroxychloroquine","Avoid sun exposure;Stay hydrated;Take medication regularly","images/lupus/lupus_1.jpeg;images/lupus/lupus_2.jpeg;images/lupus/lupus_3.jpeg"
Ringworm,"Circular rash;Itchy skin;Hair loss","Antifungal creams;Oral antifungals;Tea tree oil;Clotrimazole","Keep area clean and dry;Avoid tight clothing;Use antifungal powder","images/ringworm/ringworm_1.jpeg;images/ringworm/ringworm_2.jpeg;images/ringworm/ringworm_3.jpeg"
Rosacea,"Facial redness;Visible blood vessels;Bumps","Metronidazole;Azelaic acid;Brimonidine;Oral antibiotics","Avoid triggers;Use sunscreen;Limit alcohol and spicy food","images/rosacea/rosacea_1.jpeg;images/rosacea/rosacea_2.jpeg;images/rosacea/rosacea_3.jpeg"
Shingles,"Painful rash;Blisters;Burning pain","Antivirals;Pain relievers;Calamine lotion;Gabapentin","Avoid scratching;Wear loose clothing;Keep rash clean","images/shingles/shingles_1.jpeg;images/shingles/shingles_2.jpeg;images/shingles/shingles_3.jpeg"
Skin Cancer,"New mole;Asymmetrical spot;Bleeding lesion","Chemotherapy;Radiation therapy;Immunotherapy;Surgical removal","Avoid prolonged sun;Use sunscreen;Regular skin checks","images/skin_cancer/skin_cancer_1.jpeg;images/skin_cancer/skin_cancer_2.jpeg;images/skin_cancer/skin_cancer_3.jpeg"
Vitiligo,"White patches;Loss of pigmentation;Graying hair","Topical corticosteroids;Phototherapy;Depigmenting agents;Psoralen","Protect skin from sun;Use gentle products;Avoid injuries","images/vitiligo/vitiligo_1.jpeg;images/vitiligo/vitiligo_2.jpeg;images/vitiligo/vitiligo_3.jpeg"
Warts,"Grainy growths;Rough skin;Flesh-colored bumps","Salicylic acid;Cryotherapy;Cantharidin;Imiquimod","Avoid skin contact;Don’t share items;Keep area clean","images/warts/warts_1.jpeg;images/warts/warts_2.jpeg;images/warts/warts_3.jpeg"
Scabies,"Itching at night;Burrow lines;Rash with bumps","Permethrin cream;Ivermectin;Antihistamines;Crotamiton","Wash clothes and bedding;Avoid contact;Keep fingernails trimmed","images/scabies/scabies_1.jpeg;images/scabies/scabies_2.jpeg;images/scabies/scabies_3.jpeg"
Chickenpox,"Itchy rash;Fever;Fatigue","Antihistamines;Calamine lotion;Acyclovir;Pain relievers","Avoid scratching;Stay hydrated;Isolate from others","images/chicken_pox/chicken_pox_1.jpeg;images/chicken_pox/chicken_pox_2.jpeg;images/chicken_pox/chicken_pox_3.jpeg"
